# of vertices,Execution Time
10,7.95E-05
20,0.0003785
30,0.0010176
40,0.0022532
50,0.0042154
60,0.0067623
70,0.0114078
80,0.0163349
90,0.0262194
100,0.0314216
110,0.0427783
120,0.0575299
130,0.0732808
140,0.0888951
150,0.1163232
160,0.1398765
170,0.1683738
180,0.2001983
190,0.2282283
200,0.2706982
210,0.3113361
220,0.3671185
230,0.4134528
240,0.4835765
250,0.5282076
260,0.5747097
270,0.6606119
280,0.7168173
290,0.8272309
300,0.8928792
310,0.9520782
320,1.052688
330,1.2067335
340,1.6224392
350,2.1142633
360,1.9160062
370,1.8855055
380,1.8614798
390,2.2490058
400,2.3626968
410,2.6489825
420,2.5156274
430,2.8452842
440,2.7123452
450,2.9640801
460,3.1899416
470,3.3131212
480,3.5669551
490,3.7954006
500,4.0117424
510,4.3710162
520,4.6189816
530,5.2141095
540,5.4745829
550,6.0313404
560,6.1731455
570,6.4294587
580,6.5887834
590,6.8665808
600,7.3737883
610,7.7073159
620,8.2390604
630,8.9657178
640,9.2475248
650,9.5027488
660,10.1325024
670,10.5540912
680,11.0094065
690,11.4918231
700,12.0939166
710,12.2329244
720,13.1269117
730,13.5091349
740,14.6116657
750,15.1344819
760,15.3675104
770,15.9493012
780,16.9976885
790,17.7619016
800,18.0395244
810,18.9582341
820,20.5515026
830,20.6491147
840,20.9541208
850,22.4954044
860,22.4181277
870,23.6628515
880,25.0091732
890,25.0531775
900,26.450934
910,27.2043049
920,27.9110245
930,29.5683396
940,30.3569466
950,31.2280363
960,32.1657651
970,33.2368515
980,33.8358818
990,35.180738
1000,36.4773684
1010,37.7573624
1020,39.7158888
1030,41.661863
1040,41.9965956
1050,42.3432168
1060,44.2293318
1070,45.350532
1080,46.6129872
1090,47.5755757
1100,48.7614392
1110,50.906345
1120,52.5680514
1130,53.3163651
1140,54.8642334
1150,56.1930465
1160,58.3109656
1170,59.3155586
1180,61.0641547
1190,63.4460186
1200,64.4300437
1210,65.804429
1220,66.8336628
1230,70.0526418
1240,71.30727
1250,74.1249512
1260,74.6908821
1270,77.1245212
1280,78.7590695
1290,80.0732649
1300,82.5378977
1310,84.7769
1320,86.2851271
1330,89.9527159
1340,90.772145
1350,92.5199156
1360,95.0447303
1370,94.8597712
1380,97.2850557
1390,98.9310807
1400,100.9510012
1410,104.7717142
1420,106.7644578
1430,108.2793258
1440,111.3875869
1450,112.6895303
1460,114.8133315
1470,116.1901752
1480,120.821441
1490,122.495686
1500,125.6928738
